                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 3 2018                               
                        UCC -dir hadoop-0.16.0 -outdir out/hadoop-0.16.0-ucc                        

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
68,10,22,0,8,2,17,27,36,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/DisableCommand.java
80,10,22,0,9,2,23,34,48,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/DropCommand.java
66,8,22,0,8,2,17,27,36,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/EnableCommand.java
44,5,21,0,4,0,8,12,18,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/ExitCommand.java
44,3,30,0,1,2,5,8,11,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/ExitException.java
168,15,44,0,4,16,62,82,109,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/formatter/AsciiTableFormatter.java
183,18,58,0,10,4,62,76,107,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/formatter/HtmlTableFormatter.java
64,8,23,0,6,1,17,24,33,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/FsCommand.java
1398,60,26,0,11,73,960,1044,1312,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/generated/HQLParser.java
145,5,1,0,1,66,1,68,139,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/generated/HQLParserConstants.java
1605,8,20,0,11,33,884,928,1577,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/generated/HQLParserTokenManager.java
192,13,69,0,1,9,67,77,110,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/generated/ParseException.java
439,70,16,0,1,34,183,218,353,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/generated/SimpleCharStream.java
81,10,52,0,1,5,6,12,19,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/generated/Token.java
133,13,48,0,1,8,36,45,72,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/generated/TokenMgrError.java
183,26,30,0,8,8,68,84,127,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/HelpCommand.java
62,7,19,0,6,6,17,29,36,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/HQLClient.java
75,8,40,0,6,1,14,21,27,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/HQLSecurityManager.java
120,20,22,0,9,7,42,58,78,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/InsertCommand.java
156,20,22,0,18,8,62,88,114,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/JarCommand.java
