                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 1 2018                               
                                 UCC -outdir ucc -dir hadoop-0.2.0                                 

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
209,27,20,0,8,19,83,110,162,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/CsvInputArchive.java
147,23,20,0,8,3,65,76,104,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/CsvOutputArchive.java
37,2,30,0,1,2,1,4,5,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/Index.java
45,3,20,0,5,15,1,21,22,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/InputArchive.java
47,4,20,0,5,15,1,21,23,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/OutputArchive.java
31,3,20,0,2,2,1,5,8,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/Record.java
96,9,30,0,10,5,24,39,57,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/RecordReader.java
115,11,29,0,11,6,32,49,75,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/RecordWriter.java
366,27,113,2,6,35,137,178,226,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/Utils.java
250,35,20,0,11,7,117,135,195,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/XmlInputArchive.java
251,35,20,0,8,8,140,156,196,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/record/XmlOutputArchive.java
42,6,18,1,1,0,12,13,18,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/util/Daemon.java
203,32,36,2,7,16,80,103,135,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/util/LogFormatter.java
50,5,23,0,2,1,12,15,22,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/util/PrintJarMainClass.java
144,18,59,0,7,4,35,46,67,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/util/ProgramDriver.java
116,16,30,1,2,8,42,52,70,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/util/Progress.java
136,16,19,0,8,9,59,76,101,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/util/RunJar.java
41,5,24,0,3,0,7,10,12,CODE,hadoop-0.2.0/src/java/org/apache/hadoop/util/StringUtils.java
530,46,158,7,18,44,177,239,326,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/dfs/ClusterTestDFS.java
468,54,91,3,18,27,187,232,323,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/dfs/ClusterTestDFSNamespaceLogging.java
