                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 1 2018                               
                             UCC -outdir ucc -dir apache-log4j-2.1-src/                             

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
82,16,19,0,2,7,25,34,47,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/processor/PluginEntry.java
173,20,30,0,23,7,63,93,123,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/processor/PluginProcessor.java
21,1,19,0,1,0,0,1,1,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/util/package-info.java
324,21,52,2,27,18,128,173,251,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/util/PluginBuilder.java
176,21,69,0,10,9,44,63,86,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/util/PluginManager.java
311,30,71,0,23,27,109,159,210,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/util/PluginRegistry.java
83,12,31,0,2,3,19,24,40,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/util/PluginType.java
414,40,160,1,23,19,109,151,214,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/util/ResolverUtil.java
41,3,25,0,7,1,1,9,13,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/validation/Constraint.java
23,1,21,0,1,0,0,1,1,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/validation/constraints/package-info.java
44,5,24,0,8,1,2,11,15,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/validation/constraints/Required.java
43,4,33,0,2,2,1,5,6,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/validation/ConstraintValidator.java
84,7,28,1,7,3,23,33,49,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/validation/ConstraintValidators.java
23,1,21,0,1,0,0,1,1,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/validation/package-info.java
23,1,21,0,1,0,0,1,1,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/validation/validators/package-info.java
80,8,28,0,7,2,24,33,44,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/validation/validators/RequiredValidator.java
134,14,42,0,10,9,35,54,78,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/visitors/AbstractPluginVisitor.java
24,1,22,0,1,0,0,1,1,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/visitors/package-info.java
80,6,19,0,7,4,29,40,55,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/visitors/PluginAttributeVisitor.java
54,6,23,0,7,5,8,20,25,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/visitors/PluginBuilderAttributeVisitor.java
47,4,19,0,5,0,11,16,24,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/visitors/PluginConfigurationVisitor.java
109,6,23,0,11,4,45,60,80,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/visitors/PluginElementVisitor.java
43,4,19,0,5,0,9,14,20,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/visitors/PluginNodeVisitor.java
43,4,19,0,5,3,6,14,20,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/visitors/PluginValueVisitor.java
94,10,69,0,7,0,7,14,15,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/visitors/PluginVisitor.java
57,7,27,0,5,1,11,17,23,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/plugins/visitors/PluginVisitors.java
59,7,25,0,10,1,8,19,27,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/PropertiesPlugin.java
